image,label
Road04/Record004/Camera 6/171206_054616482_Camera_6.jpg,Label_road04/Label/Record004/Camera 6/171206_054616482_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055118536_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055118536_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030621721_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030621721_Camera_6_bin.png
Road02/Record006/Camera 6/170927_064454994_Camera_6.jpg,Label_road02/Label/Record006/Camera 6/170927_064454994_Camera_6_bin.png
Road03/Record003/Camera 6/171206_030034742_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030034742_Camera_6_bin.png
Road02/Record002/Camera 6/170927_063952977_Camera_6.jpg,Label_road02/Label/Record002/Camera 6/170927_063952977_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064707942_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064707942_Camera_6_bin.png
Road04/Record005/Camera 6/171206_054713153_Camera_6.jpg,Label_road04/Label/Record005/Camera 6/171206_054713153_Camera_6_bin.png
Road03/Record003/Camera 6/171206_030026483_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030026483_Camera_6_bin.png
Road04/Record006/Camera 6/171206_055020532_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_055020532_Camera_6_bin.png
Road04/Record006/Camera 5/171206_054846309_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_054846309_Camera_5_bin.png
Road04/Record003/Camera 6/171206_054427198_Camera_6.jpg,Label_road04/Label/Record003/Camera 6/171206_054427198_Camera_6_bin.png
Road04/Record004/Camera 6/171206_054641610_Camera_6.jpg,Label_road04/Label/Record004/Camera 6/171206_054641610_Camera_6_bin.png
Road02/Record002/Camera 5/170927_063953234_Camera_5.jpg,Label_road02/Label/Record002/Camera 5/170927_063953234_Camera_5_bin.png
Road02/Record004/Camera 5/170927_064301468_Camera_5.jpg,Label_road02/Label/Record004/Camera 5/170927_064301468_Camera_5_bin.png
Road04/Record006/Camera 5/171206_054820508_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_054820508_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030642058_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030642058_Camera_5_bin.png
Road02/Record005/Camera 5/170927_064333942_Camera_5.jpg,Label_road02/Label/Record005/Camera 5/170927_064333942_Camera_5_bin.png
Road02/Record006/Camera 6/170927_064452288_Camera_6.jpg,Label_road02/Label/Record006/Camera 6/170927_064452288_Camera_6_bin.png
Road02/Record004/Camera 5/170927_064218030_Camera_5.jpg,Label_road02/Label/Record004/Camera 5/170927_064218030_Camera_5_bin.png
Road02/Record001/Camera 5/170927_063836267_Camera_5.jpg,Label_road02/Label/Record001/Camera 5/170927_063836267_Camera_5_bin.png
Road02/Record004/Camera 6/170927_064225410_Camera_6.jpg,Label_road02/Label/Record004/Camera 6/170927_064225410_Camera_6_bin.png
Road03/Record002/Camera 5/171206_025858030_Camera_5.jpg,Label_road03/Label/Record002/Camera 5/171206_025858030_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030605609_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030605609_Camera_5_bin.png
Road03/Record003/Camera 5/171206_030117651_Camera_5.jpg,Label_road03/Label/Record003/Camera 5/171206_030117651_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030909502_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030909502_Camera_5_bin.png
Road04/Record003/Camera 6/171206_054510369_Camera_6.jpg,Label_road04/Label/Record003/Camera 6/171206_054510369_Camera_6_bin.png
Road02/Record005/Camera 6/170927_064402937_Camera_6.jpg,Label_road02/Label/Record005/Camera 6/170927_064402937_Camera_6_bin.png
Road02/Record003/Camera 6/170927_064039277_Camera_6.jpg,Label_road02/Label/Record003/Camera 6/170927_064039277_Camera_6_bin.png
Road04/Record007/Camera 5/171206_055109921_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055109921_Camera_5_bin.png
Road02/Record004/Camera 5/170927_064149700_Camera_5.jpg,Label_road02/Label/Record004/Camera 5/170927_064149700_Camera_5_bin.png
Road02/Record006/Camera 6/170927_064517256_Camera_6.jpg,Label_road02/Label/Record006/Camera 6/170927_064517256_Camera_6_bin.png
Road02/Record001/Camera 5/170927_063842612_Camera_5.jpg,Label_road02/Label/Record001/Camera 5/170927_063842612_Camera_5_bin.png
Road02/Record001/Camera 6/170927_063828453_Camera_6.jpg,Label_road02/Label/Record001/Camera 6/170927_063828453_Camera_6_bin.png
Road03/Record003/Camera 6/171206_030039234_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030039234_Camera_6_bin.png
Road04/Record007/Camera 5/171206_055148539_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055148539_Camera_5_bin.png
Road03/Record008/Camera 6/171206_030618578_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030618578_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030750935_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030750935_Camera_6_bin.png
Road03/Record001/Camera 6/171206_025808682_Camera_6.jpg,Label_road03/Label/Record001/Camera 6/171206_025808682_Camera_6_bin.png
Road04/Record001/Camera 5/171206_054158338_Camera_5.jpg,Label_road04/Label/Record001/Camera 5/171206_054158338_Camera_5_bin.png
Road03/Record003/Camera 6/171206_030136870_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030136870_Camera_6_bin.png
Road03/Record002/Camera 5/171206_025926679_Camera_5.jpg,Label_road03/Label/Record002/Camera 5/171206_025926679_Camera_5_bin.png
Road02/Record006/Camera 6/170927_064500775_Camera_6.jpg,Label_road02/Label/Record006/Camera 6/170927_064500775_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030623817_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030623817_Camera_5_bin.png
Road04/Record002/Camera 6/171206_054308893_Camera_6.jpg,Label_road04/Label/Record002/Camera 6/171206_054308893_Camera_6_bin.png
Road04/Record003/Camera 5/171206_054402059_Camera_5.jpg,Label_road04/Label/Record003/Camera 5/171206_054402059_Camera_5_bin.png
Road04/Record007/Camera 5/171206_055134093_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055134093_Camera_5_bin.png
Road02/Record002/Camera 6/170927_064001620_Camera_6.jpg,Label_road02/Label/Record002/Camera 6/170927_064001620_Camera_6_bin.png
Road03/Record002/Camera 6/171206_025854100_Camera_6.jpg,Label_road03/Label/Record002/Camera 6/171206_025854100_Camera_6_bin.png
Road04/Record006/Camera 5/171206_054900856_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_054900856_Camera_5_bin.png
Road04/Record006/Camera 5/171206_055011870_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_055011870_Camera_5_bin.png
Road03/Record003/Camera 6/171206_030053223_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030053223_Camera_6_bin.png
Road04/Record006/Camera 6/171206_054925349_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_054925349_Camera_6_bin.png
Road04/Record003/Camera 6/171206_054404712_Camera_6.jpg,Label_road04/Label/Record003/Camera 6/171206_054404712_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030731267_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030731267_Camera_6_bin.png
Road02/Record003/Camera 6/170927_064101808_Camera_6.jpg,Label_road02/Label/Record003/Camera 6/170927_064101808_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030617923_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030617923_Camera_5_bin.png
Road02/Record006/Camera 5/170927_064457085_Camera_5.jpg,Label_road02/Label/Record006/Camera 5/170927_064457085_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030553439_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030553439_Camera_5_bin.png
Road04/Record006/Camera 6/171206_055041167_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_055041167_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064607783_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064607783_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055156399_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055156399_Camera_6_bin.png
Road04/Record006/Camera 6/171206_055008604_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_055008604_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030752873_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030752873_Camera_5_bin.png
Road04/Record001/Camera 6/171206_054015049_Camera_6.jpg,Label_road04/Label/Record001/Camera 6/171206_054015049_Camera_6_bin.png
Road04/Record006/Camera 5/171206_055009314_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_055009314_Camera_5_bin.png
Road04/Record001/Camera 5/171206_054027573_Camera_5.jpg,Label_road04/Label/Record001/Camera 5/171206_054027573_Camera_5_bin.png
Road04/Record007/Camera 5/171206_055208470_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055208470_Camera_5_bin.png
Road03/Record002/Camera 5/171206_025902705_Camera_5.jpg,Label_road03/Label/Record002/Camera 5/171206_025902705_Camera_5_bin.png
Road02/Record004/Camera 6/170927_064209447_Camera_6.jpg,Label_road02/Label/Record004/Camera 6/170927_064209447_Camera_6_bin.png
Road04/Record005/Camera 6/171206_054740016_Camera_6.jpg,Label_road04/Label/Record005/Camera 6/171206_054740016_Camera_6_bin.png
Road02/Record006/Camera 6/170927_064505448_Camera_6.jpg,Label_road02/Label/Record006/Camera 6/170927_064505448_Camera_6_bin.png
Road03/Record002/Camera 6/171206_025926909_Camera_6.jpg,Label_road03/Label/Record002/Camera 6/171206_025926909_Camera_6_bin.png
Road04/Record006/Camera 5/171206_054915956_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_054915956_Camera_5_bin.png
Road02/Record002/Camera 6/170927_063933671_Camera_6.jpg,Label_road02/Label/Record002/Camera 6/170927_063933671_Camera_6_bin.png
Road02/Record002/Camera 6/170927_063940047_Camera_6.jpg,Label_road02/Label/Record002/Camera 6/170927_063940047_Camera_6_bin.png
Road02/Record005/Camera 6/170927_064418159_Camera_6.jpg,Label_road02/Label/Record005/Camera 6/170927_064418159_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030600151_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030600151_Camera_5_bin.png
Road04/Record004/Camera 5/171206_054627383_Camera_5.jpg,Label_road04/Label/Record004/Camera 5/171206_054627383_Camera_5_bin.png
Road02/Record007/Camera 5/170927_064638292_Camera_5.jpg,Label_road02/Label/Record007/Camera 5/170927_064638292_Camera_5_bin.png
Road04/Record007/Camera 5/171206_055149194_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055149194_Camera_5_bin.png
Road04/Record004/Camera 6/171206_054640347_Camera_6.jpg,Label_road04/Label/Record004/Camera 6/171206_054640347_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030728303_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030728303_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030746572_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030746572_Camera_5_bin.png
Road04/Record006/Camera 6/171206_054932181_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_054932181_Camera_6_bin.png
Road04/Record002/Camera 5/171206_054244210_Camera_5.jpg,Label_road04/Label/Record002/Camera 5/171206_054244210_Camera_5_bin.png
Road04/Record003/Camera 5/171206_054523275_Camera_5.jpg,Label_road04/Label/Record003/Camera 5/171206_054523275_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030751505_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030751505_Camera_5_bin.png
Road04/Record006/Camera 5/171206_055010876_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_055010876_Camera_5_bin.png
Road04/Record007/Camera 5/171206_055123277_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055123277_Camera_5_bin.png
Road03/Record003/Camera 6/171206_030032854_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030032854_Camera_6_bin.png
Road03/Record003/Camera 6/171206_025958220_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_025958220_Camera_6_bin.png
Road04/Record006/Camera 5/171206_054854391_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_054854391_Camera_5_bin.png
Road04/Record006/Camera 6/171206_055040679_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_055040679_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030628402_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030628402_Camera_5_bin.png
Road04/Record005/Camera 6/171206_054739197_Camera_6.jpg,Label_road04/Label/Record005/Camera 6/171206_054739197_Camera_6_bin.png
Road04/Record002/Camera 5/171206_054253768_Camera_5.jpg,Label_road04/Label/Record002/Camera 5/171206_054253768_Camera_5_bin.png
Road03/Record001/Camera 6/171206_025810383_Camera_6.jpg,Label_road03/Label/Record001/Camera 6/171206_025810383_Camera_6_bin.png
Road04/Record003/Camera 6/171206_054446807_Camera_6.jpg,Label_road04/Label/Record003/Camera 6/171206_054446807_Camera_6_bin.png
Road02/Record001/Camera 5/170927_063838523_Camera_5.jpg,Label_road02/Label/Record001/Camera 5/170927_063838523_Camera_5_bin.png
Road04/Record007/Camera 5/171206_055201900_Camera_5.jpg,Label_road04/Label/Record007/Camera 5/171206_055201900_Camera_5_bin.png
Road04/Record002/Camera 6/171206_054317239_Camera_6.jpg,Label_road04/Label/Record002/Camera 6/171206_054317239_Camera_6_bin.png
Road02/Record007/Camera 5/170927_064559405_Camera_5.jpg,Label_road02/Label/Record007/Camera 5/170927_064559405_Camera_5_bin.png
Road02/Record007/Camera 6/170927_064624975_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064624975_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064653192_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064653192_Camera_6_bin.png
Road04/Record006/Camera 6/171206_054853903_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_054853903_Camera_6_bin.png
Road03/Record006/Camera 6/171206_030358731_Camera_6.jpg,Label_road03/Label/Record006/Camera 6/171206_030358731_Camera_6_bin.png
Road04/Record003/Camera 5/171206_054517905_Camera_5.jpg,Label_road04/Label/Record003/Camera 5/171206_054517905_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030843536_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030843536_Camera_5_bin.png
Road02/Record007/Camera 6/170927_064650659_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064650659_Camera_6_bin.png
Road02/Record002/Camera 5/170927_063940046_Camera_5.jpg,Label_road02/Label/Record002/Camera 5/170927_063940046_Camera_5_bin.png
Road04/Record003/Camera 5/171206_054512796_Camera_5.jpg,Label_road04/Label/Record003/Camera 5/171206_054512796_Camera_5_bin.png
Road04/Record001/Camera 6/171206_054050802_Camera_6.jpg,Label_road04/Label/Record001/Camera 6/171206_054050802_Camera_6_bin.png
Road04/Record002/Camera 6/171206_054255099_Camera_6.jpg,Label_road04/Label/Record002/Camera 6/171206_054255099_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030840990_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030840990_Camera_5_bin.png
Road04/Record002/Camera 6/171206_054304779_Camera_6.jpg,Label_road04/Label/Record002/Camera 6/171206_054304779_Camera_6_bin.png
Road02/Record002/Camera 5/170927_064014375_Camera_5.jpg,Label_road02/Label/Record002/Camera 5/170927_064014375_Camera_5_bin.png
Road02/Record003/Camera 6/170927_064113392_Camera_6.jpg,Label_road02/Label/Record003/Camera 6/170927_064113392_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030708328_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030708328_Camera_5_bin.png
Road03/Record003/Camera 6/171206_030017161_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030017161_Camera_6_bin.png
Road04/Record002/Camera 5/171206_054237919_Camera_5.jpg,Label_road04/Label/Record002/Camera 5/171206_054237919_Camera_5_bin.png
Road04/Record003/Camera 6/171206_054529694_Camera_6.jpg,Label_road04/Label/Record003/Camera 6/171206_054529694_Camera_6_bin.png
Road03/Record002/Camera 5/171206_025906350_Camera_5.jpg,Label_road03/Label/Record002/Camera 5/171206_025906350_Camera_5_bin.png
Road04/Record005/Camera 5/171206_054713687_Camera_5.jpg,Label_road04/Label/Record005/Camera 5/171206_054713687_Camera_5_bin.png
Road02/Record006/Camera 6/170927_064502742_Camera_6.jpg,Label_road02/Label/Record006/Camera 6/170927_064502742_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030720210_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030720210_Camera_5_bin.png
Road02/Record007/Camera 5/170927_064545134_Camera_5.jpg,Label_road02/Label/Record007/Camera 5/170927_064545134_Camera_5_bin.png
Road04/Record003/Camera 5/171206_054417255_Camera_5.jpg,Label_road04/Label/Record003/Camera 5/171206_054417255_Camera_5_bin.png
Road03/Record003/Camera 6/171206_030009929_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030009929_Camera_6_bin.png
Road04/Record001/Camera 6/171206_054054393_Camera_6.jpg,Label_road04/Label/Record001/Camera 6/171206_054054393_Camera_6_bin.png
Road02/Record003/Camera 6/170927_064049102_Camera_6.jpg,Label_road02/Label/Record003/Camera 6/170927_064049102_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030738135_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030738135_Camera_5_bin.png
Road02/Record004/Camera 6/170927_064207339_Camera_6.jpg,Label_road02/Label/Record004/Camera 6/170927_064207339_Camera_6_bin.png
Road04/Record001/Camera 6/171206_054051610_Camera_6.jpg,Label_road04/Label/Record001/Camera 6/171206_054051610_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030714282_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030714282_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030742488_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030742488_Camera_6_bin.png
Road02/Record005/Camera 6/170927_064332594_Camera_6.jpg,Label_road02/Label/Record005/Camera 6/170927_064332594_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055151290_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055151290_Camera_6_bin.png
Road02/Record007/Camera 5/170927_064654831_Camera_5.jpg,Label_road02/Label/Record007/Camera 5/170927_064654831_Camera_5_bin.png
Road02/Record004/Camera 5/170927_064309187_Camera_5.jpg,Label_road02/Label/Record004/Camera 5/170927_064309187_Camera_5_bin.png
Road04/Record001/Camera 6/171206_054055966_Camera_6.jpg,Label_road04/Label/Record001/Camera 6/171206_054055966_Camera_6_bin.png
Road03/Record006/Camera 6/171206_030346267_Camera_6.jpg,Label_road03/Label/Record006/Camera 6/171206_030346267_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064641123_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064641123_Camera_6_bin.png
Road03/Record008/Camera 5/171206_030621459_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030621459_Camera_5_bin.png
Road02/Record007/Camera 6/170927_064629589_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064629589_Camera_6_bin.png
Road04/Record006/Camera 6/171206_054829746_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_054829746_Camera_6_bin.png
Road02/Record006/Camera 5/170927_064501389_Camera_5.jpg,Label_road02/Label/Record006/Camera 5/170927_064501389_Camera_5_bin.png
Road02/Record004/Camera 5/170927_064220490_Camera_5.jpg,Label_road02/Label/Record004/Camera 5/170927_064220490_Camera_5_bin.png
Road04/Record005/Camera 6/171206_054738612_Camera_6.jpg,Label_road04/Label/Record005/Camera 6/171206_054738612_Camera_6_bin.png
Road02/Record002/Camera 5/170927_063957878_Camera_5.jpg,Label_road02/Label/Record002/Camera 5/170927_063957878_Camera_5_bin.png
Road04/Record001/Camera 5/171206_053957420_Camera_5.jpg,Label_road04/Label/Record001/Camera 5/171206_053957420_Camera_5_bin.png
Road03/Record002/Camera 5/171206_025920119_Camera_5.jpg,Label_road03/Label/Record002/Camera 5/171206_025920119_Camera_5_bin.png
Road02/Record005/Camera 6/170927_064342810_Camera_6.jpg,Label_road02/Label/Record005/Camera 6/170927_064342810_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064656321_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064656321_Camera_6_bin.png
Road04/Record006/Camera 6/171206_054855489_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_054855489_Camera_6_bin.png
Road02/Record005/Camera 6/170927_064329744_Camera_6.jpg,Label_road02/Label/Record005/Camera 6/170927_064329744_Camera_6_bin.png
Road03/Record006/Camera 5/171206_030513404_Camera_5.jpg,Label_road03/Label/Record006/Camera 5/171206_030513404_Camera_5_bin.png
Road03/Record008/Camera 6/171206_030718044_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030718044_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064607499_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064607499_Camera_6_bin.png
Road04/Record003/Camera 6/171206_054435636_Camera_6.jpg,Label_road04/Label/Record003/Camera 6/171206_054435636_Camera_6_bin.png
